year,month,branch_id,salary_per_hour
2019,8,1,167968.75
2019,9,1,96865.203761755489
2019,10,1,29166.021971220795
2019,11,1,30308.104487608842
2019,12,1,33180.778032036615
2020,1,1,30155.175171972485
2020,2,1,33058.575938267277
2020,3,1,26242.281681858276
2020,4,1,24897.635715229164
2020,5,1,32150.776053215079
2020,6,1,26224.262659988872
2020,7,1,23559.555055618046
2020,8,1,26086.354829781347
2020,9,1,21447.263624985779
2020,10,1,23231.45181168351
2020,11,1,20981.12300108212
2020,12,1,35138.9448248087
2019,8,2,204545.45454545456
2019,9,2,89126.559714795
2019,10,2,49161.585365853658
2019,11,2,35564.853556485359
2019,12,2,46153.846153846156
2020,1,2,43001.686340640808
2020,2,2,41497.152156224576
2020,3,2,36298.932384341635
2020,4,2,33663.366336633662
2020,5,2,39781.591263650545
2020,6,2,31511.433351924148
2020,7,2,31998.045920859793
2020,8,2,38103.548574752764
2020,9,2,34674.430915828481
2020,10,2,39127.83751493429
2020,11,2,37131.51927437642
2020,12,2,50579.150579150577
2019,8,3,764705.8823529412
2019,9,3,279761.90476190473
2019,10,3,55659.494855004676
2019,11,3,78260.869565217392
2019,12,3,66916.48822269807
2020,1,3,66988.2100750268
2020,2,3,72546.23044096728
2020,3,3,59113.300492610841
2020,4,3,50156.739811912223
2020,5,3,59633.027522935779
2020,6,3,54852.320675105482
2020,7,3,48761.609907120743
2020,8,3,52447.552447552451
2020,9,3,45072.115384615383
2020,10,3,53802.008608321376
2020,11,3,48828.125
2020,12,3,70093.457943925227
2019,9,2590,216718.26625386998
2019,10,2590,38335.158817086529
2019,11,2590,45016.077170418008
2019,12,2590,45074.050225370251
2020,1,2590,43316.831683168319
2020,2,2590,44557.606619987266
2020,3,2590,53404.5393858478
2020,4,2590,50108.147080028837
2020,5,2590,51596.139569413514
2020,6,2590,46349.942062572423
2020,7,2590,40404.0404040404
2020,8,2590,43811.610076670317
2020,9,2590,41644.976574700675
2020,10,2590,45688.178183894917
2020,11,2590,59835.452505609574
2020,12,2590,85561.497326203214
2019,9,2623,166666.66666666666
2019,10,2623,30565.823144725618
2019,11,2623,33005.833589192509
2019,12,2623,34599.291921467651
2020,1,2623,32536.3196125908
2020,2,2623,35073.409461663949
2020,3,2623,33530.879600748594
2020,4,2623,38599.640933572708
2020,5,2623,40750.568612585295
2020,6,2623,42156.286721504111
2020,7,2623,33212.560386473429
2020,8,2623,34202.374806401654
2020,9,2623,31427.893738140418
2020,10,2623,34935.7182783678
2020,11,2623,48393.341076267905
2020,12,2623,83388.925950633755
2019,9,2625,268595.04132231406
2019,10,2625,39062.5
2019,11,2625,43741.58815612382
2019,12,2625,44459.644322845415
2020,1,2625,42372.8813559322
2020,2,2625,43624.161073825504
2020,3,2625,39772.727272727272
2020,4,2625,35063.752276867031
2020,5,2625,37671.232876712325
2020,6,2625,37597.65625
2020,7,2625,39487.179487179485
2020,8,2625,41353.383458646618
2020,9,2625,40697.674418604649
2020,10,2625,37560.9756097561
2020,11,2625,46274.038461538461
2020,12,2625,66493.955094991368
2019,9,2626,189497.71689497717
2019,10,2626,43074.884029158384
2019,11,2626,41322.314049586777
2019,12,2626,43275.632490013319
2020,1,2626,41536.05015673981
2020,2,2626,46450.482033304121
2020,3,2626,41438.623924941363
2020,4,2626,42810.98546042003
2020,5,2626,43585.526315789473
2020,6,2626,43159.609120521171
2020,7,2626,46247.8184991274
2020,8,2626,46491.228070175435
2020,9,2626,46369.20384951881
2020,10,2626,45967.042497831746
2020,11,2626,65190.651906519066
2020,12,2626,102380.95238095238
2019,9,2629,278481.01265822788
2019,10,2629,51315.789473684214
2019,11,2629,45910.687405920726
2019,12,2629,53508.771929824565
2020,1,2629,46258.847320525783
2020,2,2629,49809.471965160585
2020,3,2629,47113.289760348584
2020,4,2629,49627.079747561678
2020,5,2629,59737.56906077348
2020,6,2629,51213.7359384251
2020,7,2629,49855.907780979825
2020,8,2629,53760.099440646365
2020,9,2629,49343.981745579011
2020,10,2629,54920.634920634919
2020,11,2629,57475.083056478405
2020,12,2629,86854.46009389672
2019,9,2630,208888.88888888888
2019,10,2630,40692.640692640693
2019,11,2630,43278.0847145488
2019,12,2630,44007.490636704119
2020,1,2630,47910.295616717638
2020,2,2630,49421.66140904311
2020,3,2630,44804.5757864633
2020,4,2630,48057.259713701431
2020,5,2630,52222.222222222219
2020,6,2630,51773.729626078617
2020,7,2630,55612.770339855815
2020,8,2630,58568.329718004337
2020,9,2630,57385.759829968119
2020,10,2630,57815.845824411132
2020,11,2630,85039.370078740161
2020,12,2630,114406.77966101695
2019,9,2631,179894.17989417989
2019,10,2631,31686.859273066169
2019,11,2631,35564.853556485359
2019,12,2631,36055.143160127256
2020,1,2631,33530.571992110454
2020,2,2631,37444.933920704847
2020,3,2631,33431.661750245818
2020,4,2631,34378.159757330635
2020,5,2631,36208.7326943557
2020,6,2631,34343.434343434346
2020,7,2631,35233.160621761657
2020,8,2631,36956.521739130432
2020,9,2631,35789.473684210527
2020,10,2631,35490.605427974944
2020,11,2631,48640.915593705293
2020,12,2631,75892.857142857145
2019,9,2633,268750.0
2019,10,2633,59027.777777777781
2019,11,2633,58575.445173383319
2019,12,2633,61154.5988258317
2020,1,2633,59751.434034416823
2020,2,2633,69213.732004429679
2020,3,2633,60153.994225216557
2020,4,2633,65928.2700421941
2020,5,2633,65651.26050420168
2020,6,2633,64432.989690721646
2020,7,2633,64366.632337796087
2020,8,2633,66137.566137566144
2020,9,2633,67640.692640692636
2020,10,2633,66773.504273504281
2020,11,2633,99681.020733652316
2020,12,2633,156250.0
2019,9,2634,322580.6451612903
2019,10,2634,50761.421319796951
2019,11,2634,59523.809523809527
2019,12,2634,54347.82608695652
2020,1,2634,45662.100456621
2020,2,2634,54644.8087431694
2020,3,2634,60606.060606060608
2020,4,2634,62111.801242236026
2020,5,2634,95238.095238095237
2019,9,2635,393333.33333333331
2019,10,2635,50687.2852233677
2019,11,2635,55243.445692883892
2019,12,2635,59068.21963394343
2020,1,2635,38917.089678511
2020,2,2635,41742.286751361164
2020,3,2635,40564.373897707228
2020,4,2635,40421.792618629173
2020,5,2635,51685.393258426964
2020,6,2635,40636.042402826854
2020,7,2635,39115.6462585034
2020,8,2635,47817.047817047816
2020,9,2635,39792.3875432526
2020,10,2635,39115.6462585034
2020,11,2635,63013.698630136983
2020,12,2635,99397.590361445778
2019,9,3092,103305.78512396694
2019,10,3092,38901.601830663618
2019,11,3092,28463.792381749685
2019,12,3092,29222.174473571122
2020,1,3092,27891.714520098441
2020,2,3092,29501.084598698482
2020,3,3092,29501.084598698482
2020,4,3092,30979.498861047836
2020,5,3092,35324.675324675321
2020,6,3092,29942.756494936151
2020,7,3092,26973.42324474415
2020,8,3092,30195.381882770871
2020,9,3092,28887.000849617671
2020,10,3092,28610.354223433242
2020,11,3092,42915.531335149863
2020,12,3092,66995.073891625609
2020,8,11265,1222222.2222222222
2020,9,11265,49773.755656108595
2020,10,11265,58823.529411764706
2020,11,11265,55555.555555555555
2020,12,11265,65088.757396449706
2019,9,12722,269230.76923076925
2019,10,12722,41666.666666666664
2019,11,12722,40229.885057471263
2019,12,12722,37634.408602150535
2020,1,12722,55118.110236220469
2020,2,12722,37837.83783783784
2020,3,12722,37433.1550802139
2020,4,12722,36458.333333333336
2020,5,12722,61946.902654867255
2020,8,12722,38461.538461538461
2020,9,12722,34825.870646766169
2020,10,12722,34825.870646766169
2020,11,12722,46052.631578947367
2020,12,12722,67307.692307692312